eleccion_tipo,provincia,agrupacion,porc_votos
PASO,Mendoza,UNION POR LA PATRIA,0.178858425
GENERAL,Misiones,UNION POR LA PATRIA,0.379144842
GENERAL,Misiones,LA LIBERTAD AVANZA,0.421278326
GENERAL,Misiones,JUNTOS POR EL CAMBIO,0.144438165
GENERAL,Misiones,HACEMOS POR NUESTRO PAIS,0.041305067
GENERAL,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.0138336
PASO,Misiones,UNION POR LA PATRIA,0.295693168
PASO,Misiones,JUNTOS POR EL CAMBIO,0.206595726
PASO,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.014625321
PASO,Misiones,LA LIBERTAD AVANZA,0.468568374
PASO,Misiones,HACEMOS POR NUESTRO PAIS,0.01451741
GENERAL,Neuquén,UNION POR LA PATRIA,0.31777719
GENERAL,Neuquén,JUNTOS POR EL CAMBIO,0.205363302
GENERAL,Neuquén,HACEMOS POR NUESTRO PAIS,0.059569934
GENERAL,Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.050174351
GENERAL,Neuquén,LA LIBERTAD AVANZA,0.367115223
PASO,Neuquén,HACEMOS POR NUESTRO PAIS,0.019976215
PASO,Neuquén,LA LIBERTAD AVANZA,0.443197784
PASO,Neuquén,JUNTOS POR EL CAMBIO,0.259035136
PASO,Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.053494135
PASO,Neuquén,UNION POR LA PATRIA,0.224296731
GENERAL,Río Negro,UNION POR LA PATRIA,0.378515511
GENERAL,Río Negro,LA LIBERTAD AVANZA,0.337281733
GENERAL,Río Negro,JUNTOS POR EL CAMBIO,0.181378044
GENERAL,Río Negro,HACEMOS POR NUESTRO PAIS,0.062613918
GENERAL,Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.040210794
PASO,Río Negro,JUNTOS POR EL CAMBIO,0.233725225
PASO,Río Negro,LA LIBERTAD AVANZA,0.411879941
PASO,Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.036710332
PASO,Río Negro,HACEMOS POR NUESTRO PAIS,0.022841985
PASO,Río Negro,UNION POR LA PATRIA,0.294842517
GENERAL,Salta,HACEMOS POR NUESTRO PAIS,0.062725631
GENERAL,Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.017688393
GENERAL,Salta,LA LIBERTAD AVANZA,0.4040307
GENERAL,Salta,JUNTOS POR EL CAMBIO,0.139441992
GENERAL,Salta,UNION POR LA PATRIA,0.376113285
PASO,Salta,UNION POR LA PATRIA,0.25508953
PASO,Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.020191157
PASO,Salta,HACEMOS POR NUESTRO PAIS,0.020985053
PASO,Salta,JUNTOS POR EL CAMBIO,0.181710593
PASO,Salta,LA LIBERTAD AVANZA,0.522023666
GENERAL,San Juan,UNION POR LA PATRIA,0.332323378
GENERAL,San Juan,JUNTOS POR EL CAMBIO,0.232292741
GENERAL,San Juan,LA LIBERTAD AVANZA,0.351016188
GENERAL,San Juan,HACEMOS POR NUESTRO PAIS,0.06178449
